station_no,date,delta,hist_level
6335050,1965-04-16,0.0,381.0
6335050,1965-04-17,-2.0,381.0
6335050,1965-04-18,9.0,381.0
6335050,1965-04-19,65.0,381.0
6335050,1965-04-20,125.0,381.0
6335050,1965-04-21,165.0,381.0
6335050,1965-04-22,164.0,381.0
6335050,1965-04-23,153.0,381.0
6335050,1965-04-24,135.0,381.0
6335050,1965-04-25,136.0,381.0
6335050,1965-04-26,140.0,381.0
6335050,1965-04-27,146.0,381.0
6335050,1965-04-28,160.0,381.0
6335050,1965-04-29,177.0,381.0
6335050,1965-04-30,205.0,381.0
6335050,1965-05-01,231.0,381.0
6335050,1965-05-02,224.0,381.0
6335050,1965-07-31,0.0,442.0
6335050,1965-08-01,11.0,442.0
6335050,1965-08-02,6.0,442.0
6335050,1965-08-03,-3.0,442.0
6335050,1965-08-04,1.0,442.0
6335050,1965-08-05,2.0,442.0
6335050,1965-08-06,-3.0,442.0
6335050,1965-08-07,-11.0,442.0
6335050,1965-08-08,-17.0,442.0
6335050,1965-08-09,-23.0,442.0
6335050,1965-08-10,-27.0,442.0
6335050,1965-08-11,-44.0,442.0
6335050,1965-08-12,-61.0,442.0
6335050,1965-08-13,-74.0,442.0
6335050,1965-08-14,-83.0,442.0
6335050,1965-08-15,-96.0,442.0
6335050,1965-08-16,-99.0,442.0
6335050,1965-11-14,0.0,246.0
6335050,1965-11-15,14.0,246.0
6335050,1965-11-16,8.0,246.0
6335050,1965-11-17,-7.0,246.0
6335050,1965-11-18,-16.0,246.0
6335050,1965-11-19,-19.0,246.0
6335050,1965-11-20,-1.0,246.0
6335050,1965-11-21,51.0,246.0
6335050,1965-11-22,135.0,246.0
6335050,1965-11-23,238.0,246.0
6335050,1965-11-24,239.0,246.0
6335050,1965-11-25,211.0,246.0
6335050,1965-11-26,179.0,246.0
6335050,1965-11-27,159.0,246.0
6335050,1965-11-28,170.0,246.0
6335050,1965-11-29,241.0,246.0
6335050,1965-11-30,320.0,246.0
6335050,1966-02-28,0.0,442.0
6335050,1966-03-01,-6.0,442.0
6335050,1966-03-02,10.0,442.0
6335050,1966-03-03,13.0,442.0
6335050,1966-03-04,9.0,442.0
6335050,1966-03-05,8.0,442.0
6335050,1966-03-06,-1.0,442.0
6335050,1966-03-07,-15.0,442.0
6335050,1966-03-08,-26.0,442.0
6335050,1966-03-09,-45.0,442.0
6335050,1966-03-10,-58.0,442.0
6335050,1966-03-11,-62.0,442.0
6335050,1966-03-12,-62.0,442.0
6335050,1966-03-13,-59.0,442.0
6335050,1966-03-14,-55.0,442.0
6335050,1966-03-15,-38.0,442.0
6335050,1966-03-16,-37.0,442.0
6335050,1966-06-14,0.0,353.0
6335050,1966-06-15,3.0,353.0
6335050,1966-06-16,12.0,353.0
6335050,1966-06-17,17.0,353.0
6335050,1966-06-18,20.0,353.0
6335050,1966-06-19,28.0,353.0
6335050,1966-06-20,45.0,353.0
6335050,1966-06-21,47.0,353.0
6335050,1966-06-22,43.0,353.0
6335050,1966-06-23,42.0,353.0
6335050,1966-06-24,42.0,353.0
6335050,1966-06-25,38.0,353.0
6335050,1966-06-26,33.0,353.0
6335050,1966-06-27,38.0,353.0
6335050,1966-06-28,62.0,353.0
6335050,1966-06-29,90.0,353.0
6335050,1966-06-30,103.0,353.0
6335050,1966-09-28,0.0,251.0
6335050,1966-09-29,-3.0,251.0
6335050,1966-09-30,-8.0,251.0
6335050,1966-10-01,-7.0,251.0
6335050,1966-10-02,-11.0,251.0
6335050,1966-10-03,-13.0,251.0
6335050,1966-10-04,-14.0,251.0
6335050,1966-10-05,-16.0,251.0
6335050,1966-10-06,-19.0,251.0
6335050,1966-10-07,-24.0,251.0
