station_no,date,hist_level
6335050,1965-04-16,381.0
6335050,1965-07-31,442.0
6335050,1965-11-14,246.0
6335050,1966-02-28,442.0
6335050,1966-06-14,353.0
6335050,1966-09-28,251.0
6335050,1967-01-12,439.0
6335050,1967-04-28,360.0
6335050,1967-08-12,295.0
6335050,1967-11-26,257.0
6335050,1968-03-11,389.0
6335050,1968-06-25,356.0
6335050,1968-10-09,532.0
6335050,1969-01-23,366.0
6335050,1969-05-09,505.0
6335050,1969-08-23,352.0
6335050,1969-12-07,258.0
6335050,1970-03-23,618.0
6335050,1970-07-07,475.0
6335050,1970-10-21,266.0
6335050,1971-02-04,324.0
6335050,1971-05-21,218.0
6335050,1971-09-04,229.0
6335050,1971-12-19,167.0
6335050,1972-04-03,199.0
6335050,1972-07-18,266.0
6335050,1972-11-01,148.0
6335050,1973-02-15,356.0
6335050,1973-06-01,304.0
6335050,1973-09-15,175.0
6335050,1973-12-30,331.0
6335050,1974-04-15,226.0
6335050,1974-07-30,330.0
6335050,1974-11-13,336.0
6335050,1975-02-27,278.0
6335050,1975-06-13,286.0
6335050,1975-09-27,281.0
6335050,1976-01-11,267.0
6335050,1976-04-26,157.0
6335050,1976-08-10,190.0
6335050,1976-11-24,144.0
6335050,1977-03-10,378.0
6335050,1977-06-24,334.0
6335050,1977-10-08,195.0
6335050,1978-01-22,255.0
6335050,1978-05-08,397.0
6335050,1978-08-22,343.0
6335050,1978-12-06,129.0
6335050,1979-03-22,554.0
6335050,1979-07-06,304.0
6335050,1979-10-20,217.0
6335050,1980-02-03,616.0
6335050,1980-05-19,307.0
6335050,1980-09-02,298.0
6335050,1980-12-17,570.0
6335050,1981-04-02,478.0
6335050,1981-07-17,284.0
6335050,1981-10-31,484.0
6335050,1982-02-14,433.0
6335050,1982-05-31,335.0
6335050,1982-09-14,256.0
6335050,1982-12-29,508.0
6335050,1983-04-14,952.0
6335050,1983-07-29,242.0
6335050,1983-11-12,122.0
6335050,1984-02-26,292.0
6335050,1984-06-11,495.0
6335050,1984-09-25,387.0
6335050,1985-01-09,178.0
6335050,1985-04-25,311.0
6335050,1985-08-09,224.0
6335050,1985-11-23,134.0
6335050,1986-03-09,338.0
6335050,1986-06-23,422.0
6335050,1986-10-07,146.0
6335050,1987-01-21,268.0
6335050,1987-05-07,391.0
6335050,1987-08-21,362.0
6335050,1987-12-05,258.0
6335050,1988-03-20,856.0
6335050,1988-07-04,307.0
6335050,1988-10-18,328.0
6335050,1989-02-01,185.0
6335050,1989-05-18,287.0
6335050,1989-09-01,222.0
6335050,1989-12-16,186.0
6335050,1990-04-01,252.0
6335050,1990-07-16,315.0
6335050,1990-10-30,168.0
6335050,1991-02-13,177.0
6335050,1991-05-30,190.0
6335050,1991-09-13,81.0
6335050,1991-12-28,525.0
6335050,1992-04-12,331.0
6335050,1992-07-27,252.0
6335050,1992-11-10,261.0
6335050,1993-02-24,232.0
6335050,1993-06-10,196.0
6335050,1993-09-24,237.0
6335050,1994-01-08,831.0
6335050,1994-04-24,402.0
6335050,1994-08-08,187.0
6335050,1994-11-22,256.0
6335050,1995-03-08,469.0
6335050,1995-06-22,426.0
6335050,1995-10-06,306.0
6335050,1996-01-20,219.0
6335050,1996-05-05,185.0
6335050,1996-08-19,227.0
6335050,1996-12-03,469.0
6335050,1997-03-19,256.0
6335050,1997-07-03,368.0
6335050,1997-10-17,209.0
6335050,1998-01-31,242.0
6335050,1998-05-17,204.0
6335050,1998-08-31,161.0
6335050,1998-12-15,536.0
6335050,1999-03-31,483.0
6335050,1999-07-15,377.0
6335050,1999-10-29,242.0
6335050,2000-02-12,513.0
6335050,2000-05-28,282.0
6335050,2000-09-11,256.0
6335050,2000-12-26,263.0
6335050,2001-04-11,487.0
6335050,2001-07-26,329.0
6335050,2001-11-09,230.0
6335050,2002-02-23,701.0
6335050,2002-06-09,307.0
6335050,2002-09-23,187.0
6335050,2003-01-07,867.0
6335050,2003-04-23,168.0
6335050,2003-08-07,117.0
6335050,2003-11-21,145.0
6335050,2004-03-06,172.0
6335050,2004-06-20,265.0
6335050,2004-10-04,169.0
6335050,2005-01-18,209.0
6335050,2005-05-04,320.0
6335050,2005-08-18,186.0
6335050,2005-12-02,87.0
6335050,2006-03-18,370.0
6335050,2006-07-02,254.0
6335050,2006-10-16,233.0
6335050,2007-01-30,294.0
6335050,2007-05-16,198.0
6335050,2007-08-30,262.0
6335050,2007-12-14,606.0
6335050,2008-03-29,423.0
6335050,2008-07-13,221.0
6335050,2008-10-27,190.0
6335050,2009-02-10,229.0
6335050,2009-05-27,246.0
6335050,2009-09-10,151.0
6335050,2009-12-25,319.0
6335050,2010-04-10,269.0
6335050,2010-07-25,192.0
6335050,2010-11-08,168.0
6335050,2011-02-22,238.0
6335050,2011-06-08,149.0
6335050,2011-09-22,171.0
6335050,2012-01-06,624.0
6335050,2012-04-21,239.0
6335050,2012-08-05,173.0
6335050,2012-11-19,293.0
6335060,1965-04-16,278.0
6335060,1965-07-31,338.0
6335060,1965-11-14,149.0
6335060,1966-02-28,338.0
6335060,1966-06-14,250.0
6335060,1966-09-28,145.0
6335060,1967-01-12,330.0
6335060,1967-04-28,255.0
6335060,1967-08-12,191.0
6335060,1967-11-26,149.0
6335060,1968-03-11,282.0
6335060,1968-06-25,262.0
6335060,1968-10-09,425.0
6335060,1969-01-23,263.0
6335060,1969-05-09,422.0
6335060,1969-08-23,248.0
6335060,1969-12-07,158.0
6335060,1970-03-23,516.0
6335060,1970-07-07,371.0
6335060,1970-10-21,164.0
6335060,1971-02-04,220.0
6335060,1971-05-21,119.0
6335060,1971-09-04,132.0
6335060,1971-12-19,71.0
6335060,1972-04-03,102.0
6335060,1972-07-18,167.0
6335060,1972-11-01,57.0
6335060,1973-02-15,269.0
6335060,1973-06-01,216.0
6335060,1973-09-15,76.0
6335060,1973-12-30,229.0
6335060,1974-04-15,130.0
6335060,1974-07-30,234.0
6335060,1974-11-13,245.0
6335060,1975-02-27,181.0
6335060,1975-06-13,190.0
6335060,1975-09-27,190.0
6335060,1976-01-11,166.0
6335060,1976-04-26,68.0
6335060,1976-08-10,93.0
6335060,1976-11-24,48.0
6335060,1977-03-10,276.0
6335060,1977-06-24,257.0
6335060,1977-10-08,96.0
6335060,1978-01-22,164.0
6335060,1978-05-08,316.0
6335060,1978-08-22,251.0
6335060,1978-12-06,41.0
6335060,1979-03-22,459.0
