station_no,date,delta
6335050,1965-04-17,-2.0
6335050,1965-04-18,9.0
6335050,1965-04-19,65.0
6335050,1965-08-01,11.0
6335050,1965-08-02,6.0
6335050,1965-08-03,-3.0
6335050,1965-11-15,14.0
6335050,1965-11-16,8.0
6335050,1965-11-17,-7.0
6335050,1966-03-01,-6.0
6335050,1966-03-02,10.0
6335050,1966-03-03,13.0
6335050,1966-06-15,3.0
6335050,1966-06-16,12.0
6335050,1966-06-17,17.0
6335050,1966-09-29,-3.0
6335050,1966-09-30,-8.0
6335050,1966-10-01,-7.0
6335050,1967-01-13,-16.0
6335050,1967-01-14,-21.0
6335050,1967-01-15,-10.0
6335050,1967-04-29,-9.0
6335050,1967-04-30,-21.0
6335050,1967-05-01,-34.0
6335050,1967-08-13,3.0
6335050,1967-08-14,11.0
6335050,1967-08-15,27.0
6335050,1967-11-27,-5.0
6335050,1967-11-28,-3.0
6335050,1967-11-29,27.0
6335050,1968-03-12,-6.0
6335050,1968-03-13,-11.0
6335050,1968-03-14,-13.0
6335050,1968-06-26,-1.0
6335050,1968-06-27,-11.0
6335050,1968-06-28,-18.0
6335050,1968-10-10,-22.0
6335050,1968-10-11,-30.0
6335050,1968-10-12,-34.0
6335050,1969-01-24,-9.0
6335050,1969-01-25,-20.0
6335050,1969-01-26,-20.0
6335050,1969-05-10,33.0
6335050,1969-05-11,39.0
6335050,1969-05-12,22.0
6335050,1969-08-24,-13.0
6335050,1969-08-25,10.0
6335050,1969-08-26,27.0
6335050,1969-12-08,0.0
6335050,1969-12-09,-10.0
6335050,1969-12-10,-19.0
6335050,1970-03-24,-16.0
6335050,1970-03-25,-22.0
6335050,1970-03-26,-4.0
6335050,1970-07-08,-19.0
6335050,1970-07-09,-22.0
6335050,1970-07-10,-23.0
6335050,1970-10-22,0.0
6335050,1970-10-23,16.0
6335050,1970-10-24,27.0
6335050,1971-02-05,-14.0
6335050,1971-02-06,-28.0
6335050,1971-02-07,-36.0
6335050,1971-05-22,0.0
6335050,1971-05-23,12.0
6335050,1971-05-24,30.0
6335050,1971-09-05,-3.0
6335050,1971-09-06,-12.0
6335050,1971-09-07,-17.0
6335050,1971-12-20,-4.0
6335050,1971-12-21,-3.0
6335050,1971-12-22,10.0
6335050,1972-04-04,15.0
6335050,1972-04-05,50.0
6335050,1972-04-06,77.0
6335050,1972-07-19,-12.0
6335050,1972-07-20,-17.0
6335050,1972-07-21,-19.0
6335050,1972-11-02,8.0
6335050,1972-11-03,2.0
6335050,1972-11-04,-4.0
6335050,1973-02-16,0.0
6335050,1973-02-17,-32.0
6335050,1973-02-18,-64.0
6335050,1973-06-02,13.0
6335050,1973-06-03,8.0
6335050,1973-06-04,9.0
6335050,1973-09-16,-4.0
6335050,1973-09-17,-7.0
6335050,1973-09-18,-8.0
6335050,1973-12-31,-12.0
6335050,1974-01-01,-28.0
6335050,1974-01-02,-44.0
6335050,1974-04-16,-8.0
6335050,1974-04-17,-12.0
6335050,1974-04-18,-15.0
6335050,1974-07-31,-22.0
6335050,1974-08-01,-33.0
6335050,1974-08-02,-42.0
6335050,1974-11-14,0.0
6335050,1974-11-15,3.0
6335050,1974-11-16,4.0
6335050,1975-02-28,-8.0
6335050,1975-03-01,-16.0
6335050,1975-03-02,-20.0
6335050,1975-06-14,-6.0
6335050,1975-06-15,-10.0
6335050,1975-06-16,-11.0
6335050,1975-09-28,4.0
6335050,1975-09-29,-3.0
6335050,1975-09-30,-15.0
6335050,1976-01-12,-2.0
6335050,1976-01-13,12.0
6335050,1976-01-14,39.0
6335050,1976-04-27,14.0
6335050,1976-04-28,31.0
6335050,1976-04-29,45.0
6335050,1976-08-11,-8.0
6335050,1976-08-12,-16.0
6335050,1976-08-13,-16.0
6335050,1976-11-25,2.0
6335050,1976-11-26,6.0
6335050,1976-11-27,10.0
6335050,1977-03-11,-16.0
6335050,1977-03-12,-26.0
6335050,1977-03-13,-32.0
6335050,1977-06-25,12.0
6335050,1977-06-26,0.0
6335050,1977-06-27,-8.0
6335050,1977-10-09,-15.0
6335050,1977-10-10,-25.0
6335050,1977-10-11,-29.0
6335050,1978-01-23,-5.0
6335050,1978-01-24,-10.0
6335050,1978-01-25,-11.0
6335050,1978-05-09,20.0
6335050,1978-05-10,24.0
6335050,1978-05-11,29.0
6335050,1978-08-23,-13.0
6335050,1978-08-24,-27.0
6335050,1978-08-25,-35.0
6335050,1978-12-07,-2.0
6335050,1978-12-08,-5.0
6335050,1978-12-09,-1.0
6335050,1979-03-23,-23.0
6335050,1979-03-24,-45.0
6335050,1979-03-25,-69.0
6335050,1979-07-07,-9.0
6335050,1979-07-08,-13.0
6335050,1979-07-09,-19.0
6335050,1979-10-21,-1.0
6335050,1979-10-22,-3.0
6335050,1979-10-23,-9.0
6335050,1980-02-04,56.0
6335050,1980-02-05,113.0
6335050,1980-02-06,182.0
6335050,1980-05-20,-7.0
6335050,1980-05-21,-14.0
6335050,1980-05-22,-19.0
6335050,1980-09-03,-7.0
6335050,1980-09-04,-10.0
6335050,1980-09-05,-11.0
6335050,1980-12-18,23.0
6335050,1980-12-19,-12.0
6335050,1980-12-20,-63.0
6335050,1981-04-03,-11.0
6335050,1981-04-04,-22.0
6335050,1981-04-05,-31.0
6335050,1981-07-18,-6.0
6335050,1981-07-19,-5.0
6335050,1981-07-20,-8.0
6335050,1981-11-01,14.0
6335050,1981-11-02,45.0
6335050,1981-11-03,83.0
6335050,1982-02-15,-10.0
6335050,1982-02-16,-14.0
6335050,1982-02-17,-18.0
6335050,1982-06-01,-6.0
6335050,1982-06-02,-11.0
6335050,1982-06-03,-10.0
6335050,1982-09-15,-7.0
6335050,1982-09-16,-9.0
6335050,1982-09-17,-13.0
6335050,1982-12-30,-19.0
6335050,1982-12-31,-40.0
6335050,1983-01-01,-66.0
6335050,1983-04-15,-46.0
6335050,1983-04-16,-138.0
6335050,1983-04-17,-212.0
6335050,1983-07-30,-5.0
6335050,1983-07-31,-11.0
6335050,1983-08-01,-13.0
6335050,1983-11-13,-3.0
6335050,1983-11-14,-3.0
6335050,1983-11-15,-1.0
6335050,1984-02-27,-12.0
6335050,1984-02-28,-17.0
6335050,1984-02-29,-16.0
6335050,1984-06-12,-28.0
6335050,1984-06-13,-65.0
6335050,1984-06-14,-96.0
6335050,1984-09-26,40.0
6335050,1984-09-27,75.0
6335050,1984-09-28,89.0
6335050,1985-01-10,-5.0
6335050,1985-01-11,-7.0
6335050,1985-01-12,-2.0
6335050,1985-04-26,-13.0
6335050,1985-04-27,-18.0
6335050,1985-04-28,-19.0
6335050,1985-08-10,20.0
6335050,1985-08-11,34.0
6335050,1985-08-12,35.0
6335050,1985-11-24,-4.0
6335050,1985-11-25,-10.0
6335050,1985-11-26,-12.0
6335050,1986-03-10,11.0
6335050,1986-03-11,-16.0
6335050,1986-03-12,-47.0
6335050,1986-06-24,-4.0
6335050,1986-06-25,-10.0
6335050,1986-06-26,-13.0
6335050,1986-10-08,-6.0
6335050,1986-10-09,-10.0
6335050,1986-10-10,-14.0
6335050,1987-01-22,-7.0
6335050,1987-01-23,-16.0
6335050,1987-01-24,-20.0
6335050,1987-05-08,37.0
6335050,1987-05-09,41.0
6335050,1987-05-10,29.0
6335050,1987-08-22,-13.0
6335050,1987-08-23,-29.0
6335050,1987-08-24,-41.0
6335050,1987-12-06,-11.0
6335050,1987-12-07,-19.0
6335050,1987-12-08,-25.0
6335050,1988-03-21,-37.0
6335050,1988-03-22,-76.0
6335050,1988-03-23,-101.0
6335050,1988-07-05,-1.0
6335050,1988-07-06,-7.0
6335050,1988-07-07,0.0
6335050,1988-10-19,-21.0
6335050,1988-10-20,-35.0
6335050,1988-10-21,-37.0
6335050,1989-02-02,-1.0
6335050,1989-02-03,-2.0
6335050,1989-02-04,-5.0
6335050,1989-05-19,-7.0
6335050,1989-05-20,-17.0
6335050,1989-05-21,-26.0
6335050,1989-09-02,-1.0
6335050,1989-09-03,-11.0
6335050,1989-09-04,-19.0
6335050,1989-12-17,113.0
6335050,1989-12-18,234.0
6335050,1989-12-19,280.0
6335050,1990-04-02,-8.0
6335050,1990-04-03,-16.0
6335050,1990-04-04,-11.0
6335050,1990-07-17,-15.0
6335050,1990-07-18,-29.0
6335050,1990-07-19,-39.0
6335050,1990-10-31,49.0
6335050,1990-11-01,79.0
6335050,1990-11-02,108.0
6335050,1991-02-14,-2.0
6335050,1991-02-15,-6.0
6335050,1991-02-16,-7.0
6335050,1991-05-31,-5.0
6335050,1991-06-01,-10.0
6335050,1991-06-02,-12.0
6335050,1991-09-14,6.0
6335050,1991-09-15,16.0
6335050,1991-09-16,21.0
6335050,1991-12-29,-60.0
6335050,1991-12-30,-110.0
6335050,1991-12-31,-147.0
6335050,1992-04-13,-18.0
6335050,1992-04-14,-32.0
6335050,1992-04-15,-49.0
6335050,1992-07-28,-20.0
6335050,1992-07-29,-32.0
6335050,1992-07-30,-41.0
6335050,1992-11-11,-5.0
6335050,1992-11-12,4.0
6335050,1992-11-13,60.0
6335050,1993-02-25,-13.0
6335050,1993-02-26,-26.0
6335050,1993-02-27,-35.0
6335050,1993-06-11,-6.0
6335050,1993-06-12,-13.0
6335050,1993-06-13,-14.0
6335050,1993-09-25,7.0
6335050,1993-09-26,31.0
6335050,1993-09-27,34.0
6335050,1994-01-09,-2.0
6335050,1994-01-10,-46.0
6335050,1994-01-11,-117.0
6335050,1994-04-25,-16.0
6335050,1994-04-26,-28.0
6335050,1994-04-27,-38.0
6335050,1994-08-09,6.0
6335050,1994-08-10,8.0
6335050,1994-08-11,10.0
6335050,1994-11-23,1.0
6335050,1994-11-24,0.0
6335050,1994-11-25,-12.0
6335050,1995-03-09,-12.0
6335050,1995-03-10,-28.0
6335050,1995-03-11,-47.0
6335050,1995-06-23,-18.0
6335050,1995-06-24,-21.0
6335050,1995-06-25,-18.0
6335050,1995-10-07,-11.0
6335050,1995-10-08,-31.0
6335050,1995-10-09,-46.0
6335050,1996-01-21,-7.0
6335050,1996-01-22,-15.0
6335050,1996-01-23,-24.0
6335050,1996-05-06,4.0
6335050,1996-05-07,0.0
6335050,1996-05-08,-4.0
6335050,1996-08-20,-12.0
6335050,1996-08-21,-24.0
6335050,1996-08-22,-20.0
6335050,1996-12-04,42.0
6335050,1996-12-05,56.0
6335050,1996-12-06,40.0
6335050,1997-03-20,4.0
6335050,1997-03-21,9.0
6335050,1997-03-22,19.0
6335050,1997-07-04,-8.0
6335050,1997-07-05,-16.0
6335050,1997-07-06,-22.0
6335050,1997-10-18,-3.0
6335050,1997-10-19,-6.0
6335050,1997-10-20,-9.0
6335050,1998-02-01,-10.0
6335050,1998-02-02,-22.0
6335050,1998-02-03,-34.0
6335050,1998-05-18,-1.0
6335050,1998-05-19,-3.0
6335050,1998-05-20,-6.0
6335050,1998-09-01,-8.0
6335050,1998-09-02,-15.0
6335050,1998-09-03,-15.0
6335050,1998-12-16,31.0
6335050,1998-12-17,12.0
6335050,1998-12-18,-31.0
6335050,1999-04-01,-49.0
6335050,1999-04-02,-81.0
6335050,1999-04-03,-99.0
6335050,1999-07-16,14.0
6335050,1999-07-17,41.0
6335050,1999-07-18,40.0
6335050,1999-10-30,-12.0
6335050,1999-10-31,-19.0
6335050,1999-11-01,-20.0
6335050,2000-02-13,3.0
6335050,2000-02-14,-7.0
6335050,2000-02-15,-14.0
6335050,2000-05-29,-7.0
6335050,2000-05-30,-5.0
6335050,2000-05-31,-9.0
6335050,2000-09-12,-19.0
6335050,2000-09-13,-36.0
6335050,2000-09-14,-43.0
6335050,2000-12-27,1.0
6335050,2000-12-28,32.0
6335050,2000-12-29,65.0
6335050,2001-04-12,30.0
6335050,2001-04-13,49.0
6335050,2001-04-14,57.0
6335050,2001-07-27,-6.0
6335050,2001-07-28,-19.0
6335050,2001-07-29,-32.0
6335050,2001-11-10,137.0
6335050,2001-11-11,215.0
6335050,2001-11-12,190.0
6335050,2002-02-24,-2.0
6335050,2002-02-25,-33.0
6335050,2002-02-26,-12.0
6335050,2002-06-10,34.0
6335050,2002-06-11,61.0
6335050,2002-06-12,58.0
6335050,2002-09-24,15.0
6335050,2002-09-25,30.0
6335050,2002-09-26,73.0
6335050,2003-01-08,-43.0
6335050,2003-01-09,-118.0
6335050,2003-01-10,-210.0
6335050,2003-04-24,4.0
6335050,2003-04-25,6.0
6335050,2003-04-26,7.0
6335050,2003-08-08,-7.0
6335050,2003-08-09,-12.0
6335050,2003-08-10,-19.0
6335050,2003-11-22,-12.0
6335050,2003-11-23,-22.0
6335050,2003-11-24,-28.0
6335050,2004-03-07,-4.0
6335050,2004-03-08,-4.0
6335050,2004-03-09,-1.0
6335050,2004-06-21,-8.0
6335050,2004-06-22,-18.0
6335050,2004-06-23,-21.0
6335050,2004-10-05,-8.0
6335050,2004-10-06,-17.0
6335050,2004-10-07,-26.0
6335050,2005-01-19,-1.0
6335050,2005-01-20,31.0
6335050,2005-01-21,95.0
6335050,2005-05-05,-8.0
6335050,2005-05-06,4.0
6335050,2005-05-07,17.0
6335050,2005-08-19,18.0
6335050,2005-08-20,19.0
6335050,2005-08-21,7.0
6335050,2005-12-03,4.0
6335050,2005-12-04,6.0
6335050,2005-12-05,26.0
6335050,2006-03-19,-31.0
6335050,2006-03-20,-58.0
6335050,2006-03-21,-82.0
6335050,2006-07-03,-11.0
6335050,2006-07-04,-23.0
6335050,2006-07-05,-38.0
6335050,2006-10-17,-15.0
6335050,2006-10-18,-30.0
6335050,2006-10-19,-41.0
6335050,2007-01-31,-2.0
6335050,2007-02-01,6.0
6335050,2007-02-02,6.0
6335050,2007-05-17,13.0
6335050,2007-05-18,34.0
6335050,2007-05-19,48.0
6335050,2007-08-31,-10.0
6335050,2007-09-01,0.0
6335050,2007-09-02,39.0
6335050,2007-12-15,-41.0
6335050,2007-12-16,-94.0
6335050,2007-12-17,-154.0
6335050,2008-03-30,3.0
6335050,2008-03-31,0.0
6335050,2008-04-01,-13.0
6335050,2008-07-14,-5.0
6335050,2008-07-15,-3.0
6335050,2008-07-16,6.0
6335050,2008-10-28,-8.0
6335050,2008-10-29,-1.0
6335050,2008-10-30,2.0
6335050,2009-02-11,23.0
6335050,2009-02-12,137.0
6335050,2009-02-13,165.0
6335050,2009-05-28,-3.0
6335050,2009-05-29,11.0
6335050,2009-05-30,32.0
6335050,2009-09-11,-10.0
6335050,2009-09-12,-17.0
6335050,2009-09-13,-23.0
6335050,2009-12-26,68.0
6335050,2009-12-27,148.0
6335050,2009-12-28,148.0
6335050,2010-04-11,-12.0
6335050,2010-04-12,-24.0
6335050,2010-04-13,-33.0
6335050,2010-07-26,33.0
6335050,2010-07-27,63.0
6335050,2010-07-28,69.0
6335050,2010-11-09,32.0
6335050,2010-11-10,74.0
6335050,2010-11-11,85.0
6335050,2011-02-23,-9.0
6335050,2011-02-24,-11.0
6335050,2011-02-25,-16.0
6335050,2011-06-09,15.0
6335050,2011-06-10,11.0
6335050,2011-06-11,5.0
6335050,2011-09-23,1.0
6335050,2011-09-24,-7.0
6335050,2011-09-25,-14.0
6335050,2012-01-07,83.0
6335050,2012-01-08,110.0
6335050,2012-01-09,98.0
6335050,2012-04-22,-11.0
6335050,2012-04-23,-18.0
6335050,2012-04-24,-17.0
6335050,2012-08-06,2.0
6335050,2012-08-07,8.0
6335050,2012-08-08,2.0
6335050,2012-11-20,-17.0
6335050,2012-11-21,-33.0
6335050,2012-11-22,-47.0
6335060,1965-04-17,2.0
6335060,1965-04-18,19.0
6335060,1965-04-19,79.0
6335060,1965-08-01,9.0
6335060,1965-08-02,-1.0
6335060,1965-08-03,-4.0
6335060,1965-11-15,11.0
6335060,1965-11-16,-3.0
6335060,1965-11-17,-19.0
6335060,1966-03-01,2.0
6335060,1966-03-02,18.0
6335060,1966-03-03,15.0
6335060,1966-06-15,6.0
6335060,1966-06-16,14.0
