STATIONS_ID,LATITUDE,LONGITUDE,CITY,STATE
4928,48.8281,9.2,Stuttgart,Baden-Wuerttemberg
3047,47.6102,7.6202,Weil,Baden-Wuerttemberg
259,47.8064,7.6387,Muellheim,Baden-Wuerttemberg
440,47.815,8.0256,Bernau-Goldbach,Baden-Wuerttemberg
582,49.0368,9.0875,Boennigheim,Baden-Wuerttemberg
1089,48.5017,7.9943,Durbach-Ebersweier,Baden-Wuerttemberg
1162,48.0919,7.7378,Eichstetten,Baden-Wuerttemberg
1216,49.4251,9.243,Elztal-Rittersbach,Baden-Wuerttemberg
1443,48.0233,7.8344,Freiburg,Baden-Wuerttemberg
1899,49.2858,9.1662,Gundelsheim,Baden-Wuerttemberg
2546,48.5576,7.88,Kehl-Odelshofen,Baden-Wuerttemberg
3041,47.9139,8.368,Loeffingen-Dittishausen,Baden-Wuerttemberg
3432,48.5667,8.7184,Nagold,Baden-Wuerttemberg
3450,49.0429,9.1958,Neckarwestheim,Baden-Wuerttemberg
4177,48.9726,8.3301,Rheinstetten,Baden-Wuerttemberg
4315,48.5615,8.2229,Baiersbronn-Ruhestein,Baden-Wuerttemberg
4712,48.0821,8.0919,Simonswald-Obersimonswald,Baden-Wuerttemberg
4713,48.6919,8.9821,Sindelfingen,Baden-Wuerttemberg
5229,48.0453,8.4608,Villingen-Schwenningen,Baden-Wuerttemberg
3257,49.4773,9.7622,"Mergentheim,",Baden-Wuerttemberg
2050,48.2766,8.0842,Haslach,Baden-Wuerttemberg
755,49.5182,9.3213,"Buchen,",Baden-Wuerttemberg
2032,47.9360,7.6182,Hartheim,Baden-Wuerttemberg
3247,48.0557,9.3185,Volume,Baden-Wuerttemberg
5723,47.9084,9.9046,"Wurzach,",Baden-Wuerttemberg
10339,48.9972,9.7396,Fichtenberg/BW-Michelbaechle,Baden-Wuerttemberg
4708,50.6466,6.3124,Simmerath,NorthRhine-Westphalia
617,51.8730,6.8863,Borken,NorthRhine-Westphalia
533,50.3844,6.7375,Blankenheim-Ahrhuette,NorthRhine-Westphalia
1277,51.0713,6.3278,Erkelenz,NorthRhine-Westphalia
1283,51.0148,8.2824,Erndtebrueck-Birkelbach,NorthRhine-Westphalia
2968,50.9894,6.9777,Cologne-Stammheim,NorthRhine-Westphalia
4741,51.14,7.093,Solingen-Hohenscheid,NorthRhine-Westphalia
3202,51.405,8.862,Marsberg-Leitmar,NorthRhine-Westphalia
4692,50.8534,7.9966,Siegen,NorthRhine-Westphalia
3024,50.0939,7.5675,Lingerhahn,Rhineland-Palatinate
1072,49.4719,8.1929,"Duerkheim,",Rhineland-Palatinate
3490,50.5346,7.0853,"Neuenahr,",Rhineland-Palatinate
3969,50.3051,7.3108,"Polch,",Rhineland-Palatinate
105,50.4845,6.971,Ahrbrueck,Rhineland-Palatinate
121,50.6654,7.5765,Neitersen,Rhineland-Palatinate
150,49.7273,8.1164,Alzey,Rhineland-Palatinate
942,50.122,6.599,Densborn,Rhineland-Palatinate
2213,50.3105,6.6236,Lissendorf,Rhineland-Palatinate
2249,49.2287,7.5482,Hoeheischweiler,Rhineland-Palatinate
2933,49.8180,6.8816,Leiwen,Rhineland-Palatinate
3410,50.2449,7.3605,Muenstermaifeld,Rhineland-Palatinate
5692,49.6051,8.3659,Worms,Rhineland-Palatinate
316,49.6957,7.8387,Bayerfeld-Steckweiler,Rhineland-Palatinate
2407,49.9819,8.0461,Ingelheim,Rhineland-Palatinate
4323,49.6468,7.8837,Ruppertsecken,Rhineland-Palatinate
4918,49.9468,7.7829,Stromberg,Rhineland-Palatinate
4770,49.9871,6.6814,Spangdahlem,Rhineland-Palatinate
5246,49.2281,6.8059,Voelklingen-Ludweiler,Saarland
